uri,name,album_name,release_date,popularity,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:7cHBrR1nSesO05CTcdoUqV,All We Need - Instrumental,In Return (Deluxe Edition),2015-09-18,23,211200,0.694,0.79,-5.438,0.0496,0.00327,0.606,0.0642,0.319,100.012
spotify:track:2GdXVqIRleFYKJAiikfI4v,Sundara - Instrumental,In Return (Deluxe Edition),2015-09-18,26,134670,0.591,0.608,-11.029,0.0392,0.0782,0.752,0.103,0.0918,120.076
spotify:track:42gXGDSf4wPAT2OYKD9WB8,White Lies - Instrumental,In Return (Deluxe Edition),2015-09-18,23,277333,0.696,0.447,-10.3,0.0681,0.00971,0.367,0.0835,0.0923,89.976
spotify:track:7EdE1Ki7I2vhQGxs2DAgmD,Kusanagi - Instrumental,In Return (Deluxe Edition),2015-09-18,29,208000,0.24,0.301,-8.903,0.0327,0.643,0.756,0.139,0.0384,73.408
spotify:track:78VJCqeZzV3iNmXm5hhovQ,Echoes - Instrumental,In Return (Deluxe Edition),2015-09-18,24,250403,0.579,0.467,-9.556,0.0427,0.00157,0.822,0.0843,0.111,139.969
spotify:track:6onDP5pnrrmbtju7VTNz55,It's Only - Instrumental,In Return (Deluxe Edition),2015-09-18,32,260062,0.434,0.515,-12.615,0.105,0.206,0.846,0.576,0.0813,119.999
spotify:track:6TxeD6qqjaDHEAfVMcvnw4,Koto - Instrumental,In Return (Deluxe Edition),2015-09-18,26,194300,0.598,0.382,-11.641,0.0858,0.0525,0.606,0.459,0.134,100.035
spotify:track:3rqmxmLjR4d5QfwjJXRcMG,Memories That You Call - Instrumental,In Return (Deluxe Edition),2015-09-18,21,223654,0.629,0.675,-10.703,0.0422,0.266,0.942,0.153,0.118,120.048
spotify:track:4Tuj9c2vHErySGwhKBDwu7,Sun Models - Instrumental,In Return (Deluxe Edition),2015-09-18,25,144149,0.844,0.413,-11.893,0.151,0.175,0.86,0.0926,0.433,119.986
spotify:track:0pYLh4p0s3NPJfqPEiTZ0m,For Us - Instrumental,In Return (Deluxe Edition),2015-09-18,18,329909,0.266,0.51,-7.656,0.0317,0.0372,0.295,0.17,0.0395,109.847
spotify:track:4p4cH6eGdvOudqUzNLa9ap,Light - Instrumental,In Return (Deluxe Edition),2015-09-18,31,253533,0.659,0.539,-10.148,0.0328,0.123,0.876,0.149,0.185,132.971
spotify:track:06JRkix5RRMRIWffxZqlGt,Always This Late,In Return,2014-09-08,46,160941,0.537,0.585,-9.301,0.044,0.0142,0.213,0.0928,0.338,170.018
spotify:track:1LeItUMezKA1HdCHxYICed,Say My Name,In Return,2014-09-08,62,262956,0.745,0.75,-7.357,0.0467,0.004,0.423,0.075,0.349,115.039
spotify:track:0vtX8UMG38p7IXpP4lZJ2z,Bloom,In Return,2014-09-08,55,195692,0.554,0.586,-6.683,0.0273,0.0146,0.856,0.0707,0.0863,130.004
spotify:track:5jnp8E61wcoF6qIEtDHQnJ,All We Need,In Return,2014-09-08,50,211200,0.644,0.847,-4.951,0.0522,0.00413,0.0183,0.0651,0.294,99.988
spotify:track:310xF17abXDaKlq0gwv50l,Sundara,In Return,2014-09-08,50,136000,0.587,0.698,-10.021,0.0686,0.0505,0.771,0.0845,0.121,120.024
spotify:track:01YmDEvbiVb5q5eCGNlB6U,White Lies,In Return,2014-09-08,43,277333,0.596,0.54,-9.318,0.0465,0.0418,0.0268,0.0785,0.126,89.971
spotify:track:3i2Q3cFdFzJ39nV9sAt3Pc,Kusanagi,In Return,2014-09-08,50,208000,0.254,0.331,-8.306,0.0321,0.479,0.471,0.164,0.0398,75.186
spotify:track:7IBaWJgk81AoQs6K3VOJds,Echoes,In Return,2014-09-08,38,264000,0.52,0.523,-8.921,0.0385,0.00195,0.338,0.0858,0.0756,139.93
spotify:track:1TSxLktSlIdEsjTGWB4Fub,It’s Only,In Return,2014-09-08,48,268000,0.324,0.586,-11.174,0.283,0.165,0.0025,0.231,0.107,160.181
spotify:track:6vLkn5w2UtsBdNAd98QQNK,Koto,In Return,2014-09-08,42,194400,0.504,0.648,-7.027,0.0482,0.00912,0.387,0.395,0.0957,100.012
spotify:track:2gpVdtEWFwUyl6uLLmvBzW,Memories That You Call,In Return,2014-09-08,43,248000,0.608,0.553,-8.184,0.0318,0.455,0.901,0.133,0.181,120.024
spotify:track:7jZHUhAmW5oq1cq6s8IxmK,Sun Models,In Return,2014-09-08,63,160000,0.681,0.485,-9.185,0.0755,0.182,0.805,0.0907,0.477,120.005
spotify:track:1Bzt8ya4lki8tDYrMZxb5E,For Us,In Return,2014-09-08,36,349090,0.27,0.556,-7.622,0.0378,0.102,0.141,0.218,0.0543,105.16
spotify:track:7ISreWAUq3CMXWWJHfmPzP,Intro,Summer's Gone,2012-09-05,30,34000,0.664,0.704,-12.977,0.598,0.894,2.3e-06,0.324,0.885,114.096
spotify:track:4aJnMRNeuDZSQN7FaSNGtM,How Did I Get Here,Summer's Gone,2012-09-05,61,131250,0.707,0.579,-6.198,0.0293,0.384,0.72,0.408,0.357,96.062
spotify:track:42JpcqbKr2Zq55hoixtq34,I Want You,Summer's Gone,2012-09-05,48,161926,0.577,0.648,-4.235,0.189,0.494,0.919,0.113,0.295,178.5
spotify:track:4cZqZa0AyJE4vEjhfzrxU5,Above the Middle,Summer's Gone,2012-09-05,45,183272,0.479,0.827,-3.932,0.0901,0.0432,0.539,0.372,0.207,110.084
spotify:track:7rMpCmqTU9Z2UcizZqhepP,We Were Young,Summer's Gone,2012-09-05,32,192000,0.51,0.698,-5.852,0.169,0.443,0.158,0.115,0.28,109.711
spotify:track:2AkFFLcVLifVGFDOtMaKZl,Today,Summer's Gone,2012-09-05,37,255165,0.532,0.896,-4.977,0.0471,0.00591,0.835,0.106,0.0923,99.694
spotify:track:52YL2YQ0ZKQTEp89inFJaE,Tuytus,Summer's Gone,2012-09-05,29,196363,0.498,0.728,-4.253,0.0635,0.00542,0.00121,0.312,0.271,109.997
spotify:track:4nDCQ2rimtiVjGoEFRAtJX,Rely,Summer's Gone,2012-09-05,32,192000,0.609,0.876,-3.347,0.0736,0.00329,0.0133,0.143,0.299,120.022
spotify:track:7xPAslx8T8DODx3LT6Zfni,Hey Now,Summer's Gone,2012-09-05,39,148085,0.562,0.852,-3.501,0.043,0.0379,0.704,0.122,0.0355,93.971
spotify:track:4xF4WcJvNfgtJ2CtmbbsIg,If You Don't (feat. Cumulus),Summer's Gone,2012-09-05,35,187118,0.644,0.639,-6.741,0.132,0.221,0.16,0.119,0.108,118.012
spotify:track:6acBIiTtlfNblQvEcZLLE1,Don't Stop,Summer's Gone,2012-09-05,47,168000,0.415,0.786,-3.731,0.054,0.0894,5.14e-05,0.19,0.0395,80.027
spotify:track:3xhR3mClWXydDCByJxnOwY,IPlayYouListen,Summer's Gone,2012-09-05,47,292776,0.577,0.748,-4.943,0.0357,0.0234,0.0876,0.113,0.279,124.71
